Dates,Account name,Customer ID,Campaign,Campaign bid strategy,Currency code,Cost,Impr.,Search impr. share,Search lost IS (budget),Search lost IS (rank),Clicks,Click share,Phone calls,Conversions,Cost / conv.,Avg. target CPA,Marchex Landing Page Calls,Marchex Landing Page Calls,Marchex Landing Page Calls,Marchex Landing Page Calls,Marchex Landing Page Calls,Reservation Confirmation (Google Pixel),Reservation Confirmation (Google Pixel),Reservation Confirmation (Google Pixel),Reservation Confirmation (Google Pixel),Reservation Confirmation (Google Pixel),Total Available Impr.,Lost to Budget,Lost to Rank,LP Calls,Web Reservations,Calls,Resv.,Main Conversions,tCPA,Brand,Engine,Camp Type,Category,Category 1,Category 2,Region,Category 3
"February 22, 2026 - February 28, 2026",Brakes Plus,982-126-2988,BP_G_SEM_NS 5097_COLORADO,BP - Colorado - Maximize Conversions - Non-Brand - New Stores,USD,0,10,0.1111,0,0.8889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,80.001,0,0,0,0,0,5.75,0,0,0,0,0,0,0,0
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_PMX_VIRGINIAS, --,USD,3320.44,100781,0.3006,0.1453,0.5542,2417,0.1488,762,769.25,4.32,4.42,0,0,0,14.83,0,0,0,0,56.31,0,335266,48714.14980000001,185804.4172,14.83,56.31,777,56,833,,NTB,G,PMX,PMX,PMX,PMX,VIRGINIAS,0
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB TIRES_TEXAS_TIRES,NTB - Texas - Maximize Conversion - Non-Brand - Tires,USD,6600.85,82640,0.1905,0.3202,0.4893,3815,0.05,355,1047.92,6.3,0,0,0,0,32,0,0,0,0,116.26,0,433806,138904.6812,212261.2758,32,116.26,387,116,503,5.8,NTB,G,SEM,NB TIRES,NB TIRES,NB TIRES,TEXAS,TIRES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB TIRES_VIRGINIAS_TIRES,NTB - Virginias - Maximize Conversion - Non-Brand - Tires,USD,8703.64,75607,0.3138,0.1926,0.4936,4851,0.1884,861,1935.12,4.5,0,0,0,0,60.2,0,0,0,0,244.15,0,240940,46405.044,118927.984,60.2,244.15,921,244,1165,4.6,NTB,G,SEM,NB TIRES,NB TIRES,NB TIRES,VIRGINIAS,TIRES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_PMX_NORTHEAST, --,USD,1729.57,65123,0.2844,0.0108,0.7048,1281,0.1379,391,391.22,4.42,4.6,0,0,0,4.88,0,0,0,0,43.4,0,228984,2473.0272,161387.9232,4.88,43.4,396,43,439,,NTB,G,PMX,PMX,PMX,PMX,NORTHEAST,0
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB TIRES_MIDWEST_TIRES,NTB - Midwest - Maximize Conversion - Non-Brand - Tires,USD,6154.44,61563,0.28,0.2318,0.4882,3236,0.1633,468,1140.28,5.4,0,0,0,0,30.17,0,0,0,0,136.35,0,219868,50965.4024,107339.5576,30.17,136.35,498,136,635,4.8,NTB,G,SEM,NB TIRES,NB TIRES,NB TIRES,MIDWEST,TIRES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB TIRES_NORTHEAST_TIRES,NTB - Northeast - Maximize Conversion - Non-Brand - Tires,USD,6318.1,60510,0.2959,0.2298,0.4742,3716,0.1618,535,1430.11,4.42,0,0,0,0,48.53,0,0,0,0,203.15,0,204495,46992.951,96971.529,48.53,203.15,584,203,787,4.5,NTB,G,SEM,NB TIRES,NB TIRES,NB TIRES,NORTHEAST,TIRES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_PMX_TEXAS, --,USD,985.95,57717,0.2043,0.0855,0.7102,971,0.05,223,226.89,4.35,3.95,0,0,0,3.33,0,0,0,0,24.81,0,282511,24154.6905,200639.31220000001,3.33,24.81,226,25,251,,NTB,G,PMX,PMX,PMX,PMX,TEXAS,0
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_PMX_MIDWEST, --,USD,1725.95,55228,0.2458,0.0929,0.6613,1094,0.1137,380,379.83,4.54,4.53,0,0,0,7,0,0,0,0,29.99,0,224687,20873.4223,148585.5131,7,29.99,387,30,417,,NTB,G,PMX,PMX,PMX,PMX,MIDWEST,0
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB TIRES_SOUTHEAST_TIRES,NTB - Southeast - Maximize Conversion - Non-Brand - Tires,USD,2968.89,26624,0.1515,0.3401,0.5084,1436,0.1079,247,481.06,6.17,0,0,0,0,9.5,0,0,0,0,59.58,0,175736,59767.8136,89344.18239999999,9.5,59.58,257,60,316,4.7,NTB,G,SEM,NB TIRES,NB TIRES,NB TIRES,SOUTHEAST,TIRES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_PMX_SOUTHEAST, --,USD,635.55,24210,0.1746,0.1129,0.7124,573,0.1035,159,163.51,3.89,3.51,0,0,0,1.67,0,0,0,0,10.48,0,138660,15654.714,98781.384,1.67,10.48,161,10,171,,NTB,G,PMX,PMX,PMX,PMX,SOUTHEAST,0
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_TEXAS_AUTO SERVICE,NTB - Texas - Maximize Conversion - Non-Brand - Auto Service,USD,794.61,21948,0.2608,0,0.7392,572,0.1095,107,114.34,6.95,0,0,0,0,1.5,0,0,0,0,8.33,0,84156,0,62208.1152,1.5,8.33,109,8,117,4.2,NTB,G,SEM,NB AUTO SERVICE,NB SERVICE,AUTO SERVICE,TEXAS,AUTO SERVICE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_PMX_CAROLINAS, --,USD,395.61,19098,0.1435,0.0034,0.853,318,0.05,88,92.42,4.28,3.57,0,0,0,0.9,0,0,0,0,7.19,0,133087,452.4958,113523.211,0.9,7.19,89,7,96,,NTB,G,PMX,PMX,PMX,PMX,CAROLINAS,0
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_CP_TEXAS_DISCOUNT TIRE,NTB - Texas - Maximize Conversion - Competitors,USD,784.65,18826,0.2832,0.0063,0.7105,503,0.104,100,117.78,6.66,0,0,0,0,0,0,0,0,0,10.5,0,66476,418.7988,47231.198000000004,0,10.5,100,11,111,4.2,NTB,G,SEM,CP,CP,CP,TEXAS,DISCOUNT TIRE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_NORTHEAST_AUTO SERVICE,NTB - Northeast - Maximize Conversion - Non-Brand - Auto Service,USD,1766.81,18664,0.2652,0,0.7348,913,0.1865,318,367.13,4.81,0,0,0,0,10.17,0,0,0,0,55.23,0,70377,0,51713.0196,10.17,55.23,328,55,383,4.2,NTB,G,SEM,NB AUTO SERVICE,NB SERVICE,AUTO SERVICE,NORTHEAST,AUTO SERVICE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB TIRES_CAROLINAS_TIRES,NTB - Carolinas - Maximize Conversion - Non-Brand - Tires,USD,1165.94,17793,0.1105,0.2167,0.6729,682,0.05,131,247.82,4.7,0,0,0,0,4.5,0,0,0,0,32.03,0,161023,34893.6841,108352.37670000001,4.5,32.03,136,32,168,4.4,NTB,G,SEM,NB TIRES,NB TIRES,NB TIRES,CAROLINAS,TIRES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_CP_NORTHEAST_COMPETITORS,NTB - Northeast - Maximize Conversion - Competitors,USD,864.72,16183,0.3177,0,0.6823,492,0.116,114,199.28,4.34,0,0,0,0,10.3,0,0,0,0,20.59,0,50938,0,34754.9974,10.3,20.59,124,21,145,4,NTB,G,SEM,CP,CP,CP,NORTHEAST,COMPETITORS
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_CP_TEXAS_COMPETITORS,NTB - Texas - Maximize Conversion - Competitors,USD,822.37,16018,0.2063,0.158,0.6356,531,0.05,105,147.8,5.56,0,0,0,0,6,0,0,0,0,17.14,0,77644,12267.752,49350.5264,6,17.14,111,17,128,4.2,NTB,G,SEM,CP,CP,CP,TEXAS,COMPETITORS
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_TEXAS_TIRE SERVICE,NTB - Texas - Maximize Conversion - Non-Brand - Services,USD,2743.49,14304,0.4645,0.242,0.2935,948,0.2221,116,262.17,10.46,0,0,0,0,22.5,0,0,0,0,97.53,0,30794,7452.148,9038.038999999999,22.5,97.53,139,98,236,11.5,NTB,G,SEM,NB TIRE SERVICE,NB SERVICE,TIRE SERVICE,TEXAS,TIRE SERVICE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB OIL CHANGE_NORTHEAST_OIL CHANGE,NTB - Northeast - Maximize Conversions Non-Brand - Oil Change,USD,1072.93,13079,0.311,0,0.689,465,0.1476,61,128.18,8.37,0,0,0,0,18,0,0,0,0,51.67,0,42055,0,28975.894999999997,18,51.67,79,52,131,7,NTB,G,SEM,NB OIL CHANGE,NB OIL CHANGE,OIL CHANGE,NORTHEAST,OIL CHANGE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB OIL CHANGE_TEXAS_OIL CHANGE,NTB - Texas - Maximize Conversions Non-Brand - Oil Change,USD,706.5,13012,0.1517,0,0.8483,254,0.05,34,53.83,13.12,0,0,0,0,3.5,0,0,0,0,17.5,0,85775,0,72762.93250000001,3.5,17.5,38,18,55,11,NTB,G,SEM,NB OIL CHANGE,NB OIL CHANGE,OIL CHANGE,TEXAS,OIL CHANGE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB OIL CHANGE_VIRGINIAS_OIL CHANGE,NTB - Virginias - Maximize Conversions Non-Brand - Oil Change,USD,1047.75,12902,0.3349,0,0.6651,446,0.1692,72,118.32,8.86,0,0,0,0,6.25,0,0,0,0,45.5,0,38525,0,25622.9775,6.25,45.5,78,46,124,7,NTB,G,SEM,NB OIL CHANGE,NB OIL CHANGE,OIL CHANGE,VIRGINIAS,OIL CHANGE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_TEXAS_BRAKES,NTB - Texas - Maximize Conversion - Non-Brand - Brakes,USD,1529.48,12313,0.169,0,0.831,514,0.1261,69,112.69,13.57,0,0,0,0,11.33,0,0,0,0,27.17,0,72858,0,60544.998,11.33,27.17,80,27,108,13,NTB,G,SEM,NB BRAKES,NB SERVICE,BRAKES,TEXAS,BRAKES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_VIRGINIAS_AUTO SERVICE,NTB - Virginias - Maximize Conversion - Non-Brand - Auto Service,USD,889.43,11072,0.194,0.2689,0.5371,604,0.109,211,208.55,4.26,0,0,0,0,5.5,0,0,0,0,12.05,0,57072,15346.660799999998,30653.3712,5.5,12.05,217,12,229,3.8,NTB,G,SEM,NB AUTO SERVICE,NB SERVICE,AUTO SERVICE,VIRGINIAS,AUTO SERVICE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_TEXAS_BRAND ONLY,NTB - Texas - Maximize Conversion - Brand,USD,5656.91,10846,0.9211,0,0.0789,2614,0.7402,332,621.45,9.1,0,0,0,0,55.67,0,0,0,0,270.08,0,11775,0,929.0475,55.67,270.08,388,270,658,5.7,NTB,G,SEM,BR,BR,BR,TEXAS,BRAND ONLY
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_NORTHEAST_TIRE SERVICE,NTB - Northeast - Maximize Conversion - Non-Brand - Services,USD,2110.81,10409,0.6056,0.1297,0.2646,966,0.3118,159,297.84,7.09,0,0,0,0,20.92,0,0,0,0,101.31,0,17188,2229.2836,4547.9448,20.92,101.31,180,101,281,5.6,NTB,G,SEM,NB TIRE SERVICE,NB SERVICE,TIRE SERVICE,NORTHEAST,TIRE SERVICE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_VIRGINIAS_TIRE SERVICE,NTB - Virginias - Maximize Conversion - Non-Brand - Services,USD,2183.89,9979,0.5968,0.0991,0.3041,915,0.3378,180,312.11,7,0,0,0,0,33,0,0,0,0,88.6,0,16721,1657.0511,5084.8561,33,88.6,213,89,302,6.4,NTB,G,SEM,NB TIRE SERVICE,NB SERVICE,TIRE SERVICE,VIRGINIAS,TIRE SERVICE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_MIDWEST_AUTO SERVICE,NTB - Midwest - Maximize Conversion - Non-Brand - Auto Service,USD,702.66,9057,0.2065,0.1224,0.6711,338,0.1251,108,110.24,6.37,0,0,0,0,3,0,0,0,0,8.75,0,43860,5368.464,29434.446,3,8.75,111,9,120,4.5,NTB,G,SEM,NB AUTO SERVICE,NB SERVICE,AUTO SERVICE,MIDWEST,AUTO SERVICE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_MIDWEST_TIRE SERVICE,NTB - Midwest - Maximize Conversion - Non-Brand - Services,USD,2084.91,8930,0.641,0.0779,0.2811,713,0.3771,143,253.02,8.24,0,0,0,0,14.5,0,0,0,0,82.92,0,13931,1085.2249,3916.0041,14.5,82.92,158,83,240,8.2,NTB,G,SEM,NB TIRE SERVICE,NB SERVICE,TIRE SERVICE,MIDWEST,TIRE SERVICE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_CP_VIRGINIAS_COMPETITORS,NTB - Virginias - Maximize Conversion - Competitors,USD,345.17,8614,0.2415,0,0.7585,250,0.05,57,106.77,3.23,0,0,0,0,0.5,0,0,0,0,9.76,0,35669,0,27054.9365,0.5,9.76,58,10,67,3.3,NTB,G,SEM,CP,CP,CP,VIRGINIAS,COMPETITORS
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB OIL CHANGE_MIDWEST_OIL CHANGE,NTB - Midwest - Maximize Conversions Non-Brand - Oil Change,USD,531.62,7638,0.2083,0,0.7917,215,0.05,50,62.66,8.48,0,0,0,0,2,0,0,0,0,11.5,0,36668,0,29030.0556,2,11.5,52,12,64,7,NTB,G,SEM,NB OIL CHANGE,NB OIL CHANGE,OIL CHANGE,MIDWEST,OIL CHANGE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_VIRGINIAS_BRAND ONLY,NTB - Virginias - Maximize Conversion - Brand,USD,4349.76,7570,0.4144,0.5439,0.0417,1859,0.327,536,725.31,6,0,0,0,0,13.88,0,0,0,0,229.06,0,18267,9935.421300000002,761.7339000000001,13.88,229.06,550,229,779,4.2,NTB,G,SEM,BR,BR,BR,VIRGINIAS,BRAND ONLY
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_MIDWEST_BRAKES,NTB - Midwest - Maximize Conversion - Non-Brand - Brakes,USD,1013.27,7431,0.2554,0,0.7446,412,0.2065,73,109.58,9.25,0,0,0,0,7,0,0,0,0,23,0,29096,0,21664.8816,7,23,80,23,103,8,NTB,G,SEM,NB BRAKES,NB SERVICE,BRAKES,MIDWEST,BRAKES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_VIRGINIAS_BRAND+,NTB - Virginias - Maximize Conversion - Brand,USD,5923.56,7094,0.4319,0.5396,0.0285,2268,0.3292,761,942.94,6.28,0,0,0,0,55,0,0,0,0,227.63,0,16425,8862.93,468.1125,55,227.63,816,228,1044,4.2,NTB,G,SEM,BR,BR,BR,VIRGINIAS,BRAND+
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_TEXAS_BRAND+,NTB - Texas - Maximize Conversion - Brand,USD,4506.81,6538,0.7223,0.2128,0.0649,1603,0.5361,315,476.44,9.46,0,0,0,0,48.5,0,0,0,0,159.89,0,9052,1926.2656,587.4748,48.5,159.89,364,160,523,5.7,NTB,G,SEM,BR,BR,BR,TEXAS,BRAND+
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_VIRGINIAS_BRAKES,NTB - Virginias - Maximize Conversion - Non-Brand - Brakes,USD,1037.51,6536,0.2238,0,0.7762,470,0.2224,89,145.38,7.14,0,0,0,0,19.38,0,0,0,0,34.21,0,29205,0,22668.921,19.38,34.21,108,34,143,7,NTB,G,SEM,NB BRAKES,NB SERVICE,BRAKES,VIRGINIAS,BRAKES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_NORTHEAST_BRAND ONLY,NTB - Northeast - Maximize Conversion - Brand,USD,4557.35,6378,0.5223,0.4502,0.0276,2173,0.3917,626,830.49,5.49,0,0,0,0,26.25,0,0,0,0,261.79,0,12211,5497.3922,337.0236,26.25,261.79,652,262,914,4.2,NTB,G,SEM,BR,BR,BR,NORTHEAST,BRAND ONLY
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_NORTHEAST_BRAKES,NTB - Northeast - Maximize Conversion - Non-Brand - Brakes,USD,866.05,5796,0.1945,0,0.8055,400,0.1803,67,116.49,7.43,0,0,0,0,8,0,0,0,0,34.33,0,29799,0,24003.0945,8,34.33,75,34,109,7,NTB,G,SEM,NB BRAKES,NB SERVICE,BRAKES,NORTHEAST,BRAKES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_SOUTHEAST_BRAKES,NTB - Southeast - Maximize Conversion - Non-Brand - Brakes,USD,685.45,5513,0.2101,0.0509,0.739,239,0.1642,57,70.42,9.73,0,0,0,0,5,0,0,0,0,8.39,0,26240,1335.616,19391.36,5,8.39,62,8,70,7.5,NTB,G,SEM,NB BRAKES,NB SERVICE,BRAKES,SOUTHEAST,BRAKES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_CP_MIDWEST_COMPETITORS,NTB - Midwest - Maximize Conversion - Competitors,USD,260.12,5287,0.2588,0,0.7412,177,0.1014,31,53.5,4.86,0,0,0,0,0.67,0,0,0,0,2.5,0,20429,0,15141.9748,0.67,2.5,32,3,34,3.4,NTB,G,SEM,CP,CP,CP,MIDWEST,COMPETITORS
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_SOUTHEAST_AUTO SERVICE,NTB - Southeast - Maximize Conversion - Non-Brand - Auto Service,USD,456.42,5205,0.1943,0.0477,0.7579,203,0.1175,72,72.83,6.27,0,0,0,0,2,0,0,0,0,1,0,26788,1277.7875999999999,20302.625200000002,2,1,74,1,75,5.5,NTB,G,SEM,NB AUTO SERVICE,NB SERVICE,AUTO SERVICE,SOUTHEAST,AUTO SERVICE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_MIDWEST_BRAND ONLY,NTB - Midwest - Maximize Conversion - Brand,USD,3552.18,4859,0.7169,0.2359,0.0473,1587,0.5197,587,700.07,5.07,0,0,0,0,17.75,0,0,0,0,168.69,0,6778,1598.9302,320.5994,17.75,168.69,605,169,773,4.3,NTB,G,SEM,BR,BR,BR,MIDWEST,BRAND ONLY
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_CAROLINAS_AUTO SERVICE,NTB - Carolinas - Maximize Conversion - Non-Brand - Auto Service,USD,340.12,4682,0.2046,0,0.7954,186,0.1329,49,44.5,7.64,0,0,0,0,0,0,0,0,0,2,0,22884,0,18201.9336,0,2,49,2,51,5.6,NTB,G,SEM,NB AUTO SERVICE,NB SERVICE,AUTO SERVICE,CAROLINAS,AUTO SERVICE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_NORTHEAST_BRAND+,NTB - Northeast - Maximize Conversion - Brand,USD,3416.74,4514,0.359,0.6195,0.0215,1468,0.2721,583,706.24,4.84,0,0,0,0,40.04,0,0,0,0,163.27,0,12574,7789.593000000001,270.34099999999995,40.04,163.27,623,163,786,4.2,NTB,G,SEM,BR,BR,BR,NORTHEAST,BRAND+
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_CP_VIRGINIAS_DISCOUNT TIRE,NTB - Virginias - Maximize Conversion - Competitors,USD,216.27,4421,0.4182,0,0.5818,155,0.1393,31,45.09,4.8,0,0,0,0,0,0,0,0,0,5,0,10571,0,6150.2078,0,5,31,5,36,3.3,NTB,G,SEM,CP,CP,CP,VIRGINIAS,DISCOUNT TIRE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_SOUTHEAST_TIRE SERVICE,NTB - Southeast - Maximize Conversion - Non-Brand - Services,USD,852.38,4409,0.4937,0,0.5063,336,0.3648,62,108.58,7.85,0,0,0,0,10,0,0,0,0,39.19,0,8931,0,4521.7653,10,39.19,72,39,111,7,NTB,G,SEM,NB TIRE SERVICE,NB SERVICE,TIRE SERVICE,SOUTHEAST,TIRE SERVICE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_CP_SOUTHEAST_COMPETITORS,NTB - Southeast - Maximize Conversion - Competitors,USD,221.62,3983,0.2039,0,0.7961,135,0.05,20,43.51,5.09,0,0,0,0,0.5,0,0,0,0,5,0,19534,0,15551.0174,0.5,5,21,5,26,5,NTB,G,SEM,CP,CP,CP,SOUTHEAST,COMPETITORS
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_CAROLINAS_BRAKES,NTB - Carolinas - Maximize Conversion - Non-Brand - Brakes,USD,545.97,3877,0.1565,0,0.8435,196,0.1462,21,44.63,12.23,0,0,0,0,6.6,0,0,0,0,11.49,0,24773,0,20896.0255,6.6,11.49,28,11,39,10,NTB,G,SEM,NB BRAKES,NB SERVICE,BRAKES,CAROLINAS,BRAKES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_TEXAS_BRAND+TIRES,NTB - Texas - Maximize Conversion - Brand,USD,2004.65,3751,0.8439,0.0908,0.0653,1118,0.6694,117,234.2,8.56,0,0,0,0,14.67,0,0,0,0,113.26,0,4445,403.60600000000005,290.25849999999997,14.67,113.26,132,113,245,5.7,NTB,G,SEM,BR,BR,BR,TEXAS,BRAND+TIRES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB OIL CHANGE_CAROLINAS_OIL CHANGE,NTB - Carolinas - Maximize Conversions Non-Brand - Oil Change,USD,353,3747,0.2399,0,0.7601,110,0.1232,21,28.25,12.5,0,0,0,0,2,0,0,0,0,7,0,15619,0,11872.0019,2,7,23,7,30,12,NTB,G,SEM,NB OIL CHANGE,NB OIL CHANGE,OIL CHANGE,CAROLINAS,OIL CHANGE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_CP_TEXAS_FIRESTONE,NTB - Texas - Maximize Conversion - Competitors,USD,206.56,3607,0.3158,0.0291,0.6551,111,0.05,35,27.08,7.63,0,0,0,0,0,0,0,0,0,1.5,0,11422,332.3802,7482.5522,0,1.5,35,2,37,4.2,NTB,G,SEM,CP,CP,CP,TEXAS,FIRESTONE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB OIL CHANGE_SOUTHEAST_OIL CHANGE,NTB - Southeast - Maximize Conversions Non-Brand - Oil Change,USD,207.22,3460,0.1821,0,0.8179,84,0.1059,15,21,9.87,0,0,0,0,2,0,0,0,0,6,0,19001,0,15540.917899999999,2,6,17,6,23,8,NTB,G,SEM,NB OIL CHANGE,NB OIL CHANGE,OIL CHANGE,SOUTHEAST,OIL CHANGE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_VIRGINIAS_BRAND+TIRES,NTB - Virginias - Maximize Conversion - Brand,USD,1622.94,3429,0.194,0.787,0.019,886,0.1676,177,275.86,5.88,0,0,0,0,11.5,0,0,0,0,98.2,0,17675,13910.225,335.825,11.5,98.2,189,98,287,4.2,NTB,G,SEM,BR,BR,BR,VIRGINIAS,BRAND+TIRES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_MIDWEST_BRAND+,NTB - Midwest - Maximize Conversion - Brand,USD,2311.98,3296,0.6272,0.3173,0.0555,1045,0.4583,339,408.86,5.65,0,0,0,0,15.08,0,0,0,0,95.75,0,5255,1667.4115000000002,291.65250000000003,15.08,95.75,354,96,450,4.3,NTB,G,SEM,BR,BR,BR,MIDWEST,BRAND+
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_NORTHEAST_BRAND+TIRES,NTB - Northeast - Maximize Conversion - Brand,USD,2090.34,2800,0.5021,0.4758,0.0221,1102,0.3971,232,348.49,6,0,0,0,0,20,0,0,0,0,109.59,0,5577,2653.5366,123.25170000000001,20,109.59,252,110,362,4.2,NTB,G,SEM,BR,BR,BR,NORTHEAST,BRAND+TIRES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_SOUTHEAST_BRAND+,NTB - Southeast - Maximize Conversion - Brand,USD,1393.5,2794,0.8749,0,0.1251,717,0.6777,166,256.26,5.44,0,0,0,0,28.83,0,0,0,0,77.35,0,3194,0,399.5694,28.83,77.35,195,77,272,3.7,NTB,G,SEM,BR,BR,BR,SOUTHEAST,BRAND+
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_TEXAS_BRAND+SERVICES,NTB - Texas - Maximize Conversion - Brand,USD,2675.12,2730,0.9663,0.0038,0.0299,904,0.6811,290,325.86,8.21,0,0,0,0,13.67,0,0,0,0,61.73,0,2825,10.735,84.4675,13.67,61.73,304,62,365,5.7,NTB,G,SEM,BR,BR,BR,TEXAS,BRAND+SERVICES
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_NB SERVICE_CAROLINAS_TIRE SERVICE,NTB - Carolinas - Maximize Conversion - Non-Brand - Services,USD,515.56,2616,0.5359,0,0.4641,234,0.3474,39,64.68,7.97,0,0,0,0,4.33,0,0,0,0,20,0,4882,0,2265.7362000000003,4.33,20,43,20,63,5.8,NTB,G,SEM,NB TIRE SERVICE,NB SERVICE,TIRE SERVICE,CAROLINAS,TIRE SERVICE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_CP_CAROLINAS_DISCOUNT TIRE,NTB - Carolinas - Maximize Conversion - Competitors,USD,131.21,2467,0.3563,0,0.6437,70,0.1159,10,24.83,5.28,0,0,0,0,0,0,0,0,0,3.5,0,6924,0,4456.978800000001,0,3.5,10,4,14,4.5,NTB,G,SEM,CP,CP,CP,CAROLINAS,DISCOUNT TIRE
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_CP_CAROLINAS_COMPETITORS,NTB - Carolinas - Maximize Conversion - Competitors,USD,122.37,2326,0.1534,0,0.8466,67,0.05,14,19.99,6.12,0,0,0,0,0,0,0,0,0,2.5,0,15163,0,12836.9958,0,2.5,14,3,17,4.5,NTB,G,SEM,CP,CP,CP,CAROLINAS,COMPETITORS
"February 22, 2026 - February 28, 2026",NTB,541-822-9321,NTB_G_SEM_BR_SOUTHEAST_BRAND ONLY,NTB - Southeast - Maximize Conversion - Brand,USD,1403.77,2304,0.7843,0.1415,0.0742,712,0.5926,235,289.55,4.85,0,0,0,0,15.5,0,0,0,0,70.72,0,2938,415.727,217.99960000000002,15.5,70.72,251,71,321,3.7,NTB,G,SEM,BR,BR,BR,SOUTHEAST,BRAND ONLY
